date,product,ticker,close,strike,level_pct,barrier_px,buf_barrier,ki_px,buf_ki
2026-07-07,A,^KS200,1225.569946,1477.22,0.829646,1255.637,-0.023946,517.027,1.370418
2026-07-07,A,^N225,68256.960938,72353.96,0.943376,61500.866,0.109854,25323.886,1.695359
2026-07-07,B,MU,938.380005,345.09,2.719233,276.072,2.399041,86.2725,9.876931
2026-07-07,B,PLTR,134.369995,177.49,0.757057,141.992,-0.053679,44.3725,2.028227
2026-07-08,A,^GSPC,7482.709961,7472.79,1.001327,6351.8715,0.178032,2615.4765,1.860936
2026-07-08,A,^KS200,1158.369995,1477.22,0.784155,1255.637,-0.077464,517.027,1.240444
2026-07-08,A,^N225,66819.046875,72353.96,0.923502,61500.866,0.086473,25323.886,1.638578
2026-07-08,B,MU,948.799988,345.09,2.749428,276.072,2.436785,86.2725,9.997711
2026-07-08,B,PLTR,132.220001,177.49,0.744943,141.992,-0.068821,44.3725,1.979774
2026-07-09,A,^GSPC,7543.640137,7472.79,1.009481,6351.8715,0.187625,2615.4765,1.884232
2026-07-09,A,^KS200,1169.72998,1477.22,0.791845,1255.637,-0.068417,517.027,1.262416
2026-07-09,A,^N225,67743.851562,72353.96,0.936284,61500.866,0.101511,25323.886,1.675097
2026-07-09,B,MU,991.640015,345.09,2.873569,276.072,2.591962,86.2725,10.494277
2026-07-09,B,PLTR,129.039993,177.49,0.727027,141.992,-0.091216,44.3725,1.908107
2026-07-10,A,^GSPC,7575.390137,7472.79,1.01373,6351.8715,0.192623,2615.4765,1.896371
2026-07-10,A,^KS200,1196.689941,1477.22,0.810096,1255.637,-0.046946,517.027,1.31456
2026-07-10,A,^N225,68557.726562,72353.96,0.947532,61500.866,0.114744,25323.886,1.707236
2026-07-10,B,MU,979.299988,345.09,2.83781,258.8175,2.783747,86.2725,10.351242
2026-07-10,B,PLTR,126.790001,177.49,0.71435,133.1175,-0.047533,44.3725,1.8574
2026-07-13,A,^GSPC,7515.339844,7472.79,1.005694,6351.8715,0.183169,2615.4765,1.873411
2026-07-13,A,^KS200,1078.780029,1477.22,0.730277,1255.637,-0.14085,517.027,1.086506
2026-07-13,A,^N225,67242.726562,72353.96,0.929358,61500.866,0.093362,25323.886,1.655308
2026-07-13,B,MU,937.0,345.09,2.715234,258.8175,2.620312,86.2725,9.860935
2026-07-13,B,PLTR,130.039993,177.49,0.732661,133.1175,-0.023119,44.3725,1.930644
2026-07-14,A,^GSPC,7543.589844,7472.79,1.009474,6351.8715,0.187617,2615.4765,1.884212
2026-07-14,A,^KS200,1092.22998,1477.22,0.739382,1255.637,-0.130139,517.027,1.11252
2026-07-14,A,^N225,67743.5,72353.96,0.936279,61500.866,0.101505,25323.886,1.675083
2026-07-14,B,MU,983.119995,345.09,2.84888,258.8175,2.798507,86.2725,10.39552
2026-07-14,B,PLTR,133.720001,177.49,0.753395,133.1175,0.004526,44.3725,2.013578
2026-07-15,A,^GSPC,7572.399902,7472.79,1.01333,6351.8715,0.192153,2615.4765,1.895228
2026-07-15,A,^KS200,1163.900024,1477.22,0.787899,1255.637,-0.07306,517.027,1.25114
2026-07-15,A,^N225,68751.507812,72353.96,0.950211,61500.866,0.117895,25323.886,1.714888
2026-07-15,B,MU,904.280029,345.09,2.620418,258.8175,2.493891,86.2725,9.481672
2026-07-15,B,PLTR,133.759995,177.49,0.75362,133.1175,0.004827,44.3725,2.01448
2026-07-16,A,^GSPC,7533.77002,7472.79,1.00816,6351.8715,0.186071,2615.4765,1.880458
2026-07-16,A,^KS200,1080.359985,1477.22,0.731347,1255.637,-0.139592,517.027,1.089562
2026-07-16,A,^N225,66835.539062,72353.96,0.92373,61500.866,0.086741,25323.886,1.639229
2026-07-16,B,MU,853.200012,345.09,2.472399,258.8175,2.296531,86.2725,8.889594
2026-07-16,B,PLTR,134.440002,177.49,0.757451,133.1175,0.009935,44.3725,2.029805
2026-07-17,A,^GSPC,7457.689941,7472.79,0.997979,6351.8715,0.174093,2615.4765,1.85137
2026-07-17,A,^N225,64141.121094,72353.96,0.886491,61500.866,0.04293,25323.886,1.532831
2026-07-17,B,MU,848.950012,345.09,2.460083,258.8175,2.280111,86.2725,8.840332
2026-07-17,B,PLTR,132.380005,177.49,0.745845,133.1175,-0.00554,44.3725,1.983379
2026-07-20,A,^GSPC,7443.279785,7472.79,0.996051,6351.8715,0.171825,2615.4765,1.84586
2026-07-20,B,MU,865.460022,345.09,2.507926,258.8175,2.343901,86.2725,9.031702
2026-07-20,B,PLTR,134.850006,177.49,0.759761,133.1175,0.013015,44.3725,2.039045
2026-07-21,A,^GSPC,7509.200195,7472.79,1.004872,6351.8715,0.182203,2615.4765,1.871064
2026-07-21,A,^N225,66232.1875,72353.96,0.915391,61500.866,0.076931,25323.886,1.615404
2026-07-21,B,MU,970.820007,345.09,2.813237,258.8175,2.750983,86.2725,10.252949
2026-07-21,B,PLTR,132.660004,177.49,0.747422,133.1175,-0.003437,44.3725,1.98969
2026-07-22,A,^GSPC,7498.959961,7472.79,1.003502,6351.8715,0.180591,2615.4765,1.867149
2026-07-22,A,^N225,66115.601562,72353.96,0.91378,61500.866,0.075035,25323.886,1.6108
2026-07-22,B,MU,959.47998,345.09,2.780376,258.8175,2.707168,86.2725,10.121504
2026-07-22,B,PLTR,124.57,177.49,0.701842,133.1175,-0.06421,44.3725,1.807369
2026-07-23,A,^GSPC,7408.299805,7472.79,0.99137,6351.8715,0.166318,2615.4765,1.832486
2026-07-23,A,^N225,66422.601562,72353.96,0.918023,61500.866,0.080027,25323.886,1.622923
2026-07-23,B,MU,990.210022,345.09,2.869425,258.8175,2.825901,86.2725,10.477702
2026-07-23,B,PLTR,123.370003,177.49,0.695081,133.1175,-0.073225,44.3725,1.780326
2026-07-24,A,^GSPC,7411.97998,7472.79,0.991862,6351.8715,0.166897,2615.4765,1.833893
2026-07-24,A,^N225,64611.148438,72353.96,0.892987,61500.866,0.050573,25323.886,1.551392
2026-07-24,B,MU,920.950012,345.09,2.668724,258.8175,2.558299,86.2725,9.674897
2026-07-24,B,PLTR,122.919998,177.49,0.692546,133.1175,-0.076605,44.3725,1.770184
2026-07-27,A,^GSPC,7413.180176,7472.79,0.992023,6351.8715,0.167086,2615.4765,1.834352
2026-07-27,A,^N225,64931.191406,72353.96,0.89741,61500.866,0.055777,25323.886,1.56403
2026-07-27,B,MU,900.200012,345.09,2.608595,258.8175,2.478127,86.2725,9.43438
2026-07-27,B,PLTR,131.529999,177.49,0.741056,133.1175,-0.011926,44.3725,1.964223
2026-07-28,A,^GSPC,7428.779785,7472.79,0.994111,6351.8715,0.169542,2615.4765,1.840316
2026-07-28,A,^N225,62364.921875,72353.96,0.861942,61500.866,0.014049,25323.886,1.462692
2026-07-28,B,MU,820.530029,345.09,2.377728,258.8175,2.170304,86.2725,8.510911
